"","Time","scenario","summary_stat","cumulative_ICU","number"
"209",2020-09-25,"A","Median",3677.13490904093,0
"210",2020-09-26,"A","Median",3679.145817589,0
"211",2020-09-27,"A","Median",3678.43421196063,0
"212",2020-09-28,"A","Median",3668.67562051101,0
"213",2020-09-29,"A","Median",3649.52165034531,0
"214",2020-09-30,"A","Median",3612.25538063851,0
"215",2020-10-01,"A","Median",3599.51048216549,0
"216",2020-10-02,"A","Median",3575.10159795316,0
"217",2020-10-03,"A","Median",3530.97746476845,0
"218",2020-10-04,"A","Median",3488.40129934121,0
"219",2020-10-05,"A","Median",3421.33851518357,0
"220",2020-10-06,"A","Median",3390.8123178129,0
"221",2020-10-07,"A","Median",3348.11925839605,0
"222",2020-10-08,"A","Median",3288.90312173431,0
"223",2020-10-09,"A","Median",3235.45705457767,0
"224",2020-10-10,"A","Median",3179.40505214577,0
"225",2020-10-11,"A","Median",3149.10472875076,0
"226",2020-10-12,"A","Median",3084.67241476368,0
"227",2020-10-13,"A","Median",3000.37886018276,0
"228",2020-10-14,"A","Median",2945.57418592075,0
"229",2020-10-15,"A","Median",2897.53909612242,0
"230",2020-10-16,"A","Median",2838.27761579054,0
"231",2020-10-17,"A","Median",2777.38575642699,0
"232",2020-10-18,"A","Median",2727.60216008529,0
"233",2020-10-19,"A","Median",2665.64133117149,0
"234",2020-10-20,"A","Median",2607.68586480281,0
"235",2020-10-21,"A","Median",2537.74516894284,0
"236",2020-10-22,"A","Median",2483.02377859353,0
"237",2020-10-23,"A","Median",2439.90629456586,0
"238",2020-10-24,"A","Median",2366.42841331752,0
"239",2020-10-25,"A","Median",2300.30090136959,0
"240",2020-10-26,"A","Median",2228.50479538031,0
"241",2020-10-27,"A","Median",2157.26489063053,0
"242",2020-10-28,"A","Median",2080.52412810829,0
"243",2020-10-29,"A","Median",2024.59420123968,0
"244",2020-10-30,"A","Median",1942.58530956411,0
"245",2020-10-31,"A","Median",1863.51232638832,0
"246",2020-11-01,"A","Median",1785.92494278253,0
"247",2020-11-02,"A","Median",1711.70350136238,0
"248",2020-11-03,"A","Median",1639.11675693004,0
"249",2020-11-04,"A","Median",1564.07322077348,0
"250",2020-11-05,"A","Median",1495.61374499875,0
"251",2020-11-06,"A","Median",1424.15001118421,0
"252",2020-11-07,"A","Median",1352.62300819769,0
"253",2020-11-08,"A","Median",1291.2392805625,0
"254",2020-11-09,"A","Median",1222.52213412405,0
"255",2020-11-10,"A","Median",1156.94887113369,0
"256",2020-11-11,"A","Median",1100.98666975163,0
"257",2020-11-12,"A","Median",1041.54730375268,0
"258",2020-11-13,"A","Median",991.705288669571,0
"259",2020-11-14,"A","Median",934.873372448649,0
"260",2020-11-15,"A","Median",885.645179580624,0
"261",2020-11-16,"A","Median",833.250426905051,0
"262",2020-11-17,"A","Median",787.009269341138,0
"263",2020-11-18,"A","Median",744.399256006308,0
"264",2020-11-19,"A","Median",703.010931791992,0
"265",2020-11-20,"A","Median",662.565062676343,0
"266",2020-11-21,"A","Median",623.49690487849,0
"267",2020-11-22,"A","Median",589.819214173203,0
"268",2020-11-23,"A","Median",555.979166393266,0
"269",2020-11-24,"A","Median",521.006752668969,0
