"","Time","scenario","summary_stat","cumulative_hosp","number"
"286",2020-12-11,"A","Median",386.82423503478,0
"287",2020-12-12,"A","Median",359.694197244234,0
"288",2020-12-13,"A","Median",339.834749810522,0
"289",2020-12-14,"A","Median",320.185442732209,0
"290",2020-12-15,"A","Median",299.338892129356,0
"291",2020-12-16,"A","Median",282.18886813935,0
"292",2020-12-17,"A","Median",265.522786820371,0
"293",2020-12-18,"A","Median",248.432643018322,0
"294",2020-12-19,"A","Median",232.356069841935,0
"295",2020-12-20,"A","Median",219.664107308619,0
"296",2020-12-21,"A","Median",206.525984270739,0
"297",2020-12-22,"A","Median",194.737076373842,0
"298",2020-12-23,"A","Median",181.645515654706,0
"299",2020-12-24,"A","Median",171.379968133831,0
"300",2020-12-25,"A","Median",159.836938190599,0
"301",2020-03-01,"B","Median",0,0
"302",2020-03-02,"B","Median",0,0
"303",2020-03-03,"B","Median",0.366408114558473,0
"304",2020-03-04,"B","Median",1.58183720813792,0
"305",2020-03-05,"B","Median",1.58183720813792,0
"306",2020-03-06,"B","Median",1.58183720813792,0
"307",2020-03-07,"B","Median",1.58183720813792,0
"308",2020-03-08,"B","Median",3.16367441627585,0
"309",2020-03-09,"B","Median",3.37167441627585,0
"310",2020-03-10,"B","Median",4.73867143635325,0
"311",2020-03-11,"B","Median",6.1621005299327,0
"312",2020-03-12,"B","Median",7.16268943545162,0
"313",2020-03-13,"B","Median",8.66951965058255,0
"314",2020-03-14,"B","Median",9.31893475814802,0
"315",2020-03-15,"B","Median",9.89334287270649,0
"316",2020-03-16,"B","Median",12.3173608718049,0
"317",2020-03-17,"B","Median",13.6412317373423,0
"318",2020-03-18,"B","Median",14.4986468449078,0
"319",2020-03-19,"B","Median",15.4310689454802,0
"320",2020-03-20,"B","Median",16.2732497364407,0
"321",2020-03-21,"B","Median",17.4886788300201,0
"322",2020-03-22,"B","Median",18.0630869445786,0
"323",2020-03-23,"B","Median",18.6291009305926,0
"324",2020-03-24,"B","Median",18.6291009305926,0
"325",2020-03-25,"B","Median",19.3783189738858,0
"326",2020-03-26,"B","Median",20.127537017179,0
"327",2020-03-27,"B","Median",20.127537017179,0
"328",2020-03-28,"B","Median",20.693551003193,0
"329",2020-03-29,"B","Median",20.693551003193,0
"330",2020-03-30,"B","Median",21.542571982214,0
"331",2020-03-31,"B","Median",22.5679568304537,0
"332",2020-04-01,"B","Median",23.3422155241534,0
"333",2020-04-02,"B","Median",24.2746376247259,0
"334",2020-04-03,"B","Median",24.4826376247259,0
"335",2020-04-04,"B","Median",24.7656446177329,0
"336",2020-04-05,"B","Median",25.3316586037468,0
"337",2020-04-06,"B","Median",25.6146655967538,0
"338",2020-04-07,"B","Median",25.8976725897608,0
"339",2020-04-08,"B","Median",26.4636865757748,0
"340",2020-04-09,"B","Median",26.3221830792713,0
"341",2020-04-10,"B","Median",26.6176529183753,0
"342",2020-04-11,"B","Median",26.7966599113823,0
"343",2020-04-12,"B","Median",26.4302517968238,0
"344",2020-04-13,"B","Median",26.7132587898308,0
"345",2020-04-14,"B","Median",26.4218576682793,0
"346",2020-04-15,"B","Median",26.7048646612863,0
"347",2020-04-16,"B","Median",26.9878716542933,0
"348",2020-04-17,"B","Median",26.9878716542933,0
"349",2020-04-18,"B","Median",26.9878716542933,0
"350",2020-04-19,"B","Median",27.5538856403073,0
"351",2020-04-20,"B","Median",27.5538856403073,0
"352",2020-04-21,"B","Median",27.5538856403073,0
"353",2020-04-22,"B","Median",28.1282937548658,0
"354",2020-04-23,"B","Median",28.7777088624313,0
"355",2020-04-24,"B","Median",29.3437228484452,0
"356",2020-04-25,"B","Median",29.9181309630037,0
"357",2020-04-26,"B","Median",30.5675460705692,0
"358",2020-04-27,"B","Median",31.3756434590564,0
"359",2020-04-28,"B","Median",32.0841826195016,0
"360",2020-04-29,"B","Median",33.0372035985226,0
"361",2020-04-30,"B","Median",33.1412035985226,0
"362",2020-05-01,"B","Median",33.5076117130811,0
"363",2020-05-02,"B","Median",35.014441928212,0
"364",2020-05-03,"B","Median",35.9059404382507,0
"365",2020-05-04,"B","Median",36.5060378267379,0
"366",2020-05-05,"B","Median",37.7298610488618,0
"367",2020-05-06,"B","Median",38.2211127495546,0
"368",2020-05-07,"B","Median",39.5295045908013,0
"369",2020-05-08,"B","Median",40.9529336843807,0
"370",2020-05-09,"B","Median",41.8937499134977,0
"371",2020-05-10,"B","Median",43.2007161609801,0
"372",2020-05-11,"B","Median",44.917216677561,0
"373",2020-05-12,"B","Median",45.8496387781335,0
"374",2020-05-13,"B","Median",46.5071899180505,0
"375",2020-05-14,"B","Median",47.8725166366779,0
"376",2020-05-15,"B","Median",49.9301265212178,0
"377",2020-05-16,"B","Median",51.1789903937482,0
"378",2020-05-17,"B","Median",52.3194124943207,0
"379",2020-05-18,"B","Median",53.5682763668511,0
"380",2020-05-19,"B","Median",55.833886251391,0
"381",2020-05-20,"B","Median",57.7861414097802,0
"382",2020-05-21,"B","Median",60.1851762375783,0
"383",2020-05-22,"B","Median",62.6700680821367,0
"384",2020-05-23,"B","Median",64.2992859881931,0
"385",2020-05-24,"B","Median",66.917358068324,0
"386",2020-05-25,"B","Median",69.5744167178289,0
"387",2020-05-26,"B","Median",72.5978834818923,0
"388",2020-05-27,"B","Median",74.9871694549952,0
"389",2020-05-28,"B","Median",77.6226075481238,0
"390",2020-05-29,"B","Median",79.434065312638,0
"391",2020-05-30,"B","Median",83.2734913311768,0
"392",2020-05-31,"B","Median",86.3094784204434,0
"393",2020-06-01,"B","Median",90.3443841137789,0
"394",2020-06-02,"B","Median",93.7175990820315,0
"395",2020-06-03,"B","Median",98.1140097230248,0
"396",2020-06-04,"B","Median",101.75674716026,0
"397",2020-06-05,"B","Median",106.715751693237,0
"398",2020-06-06,"B","Median",111.391993940892,0
"399",2020-06-07,"B","Median",115.46001883788,0
"400",2020-06-08,"B","Median",121.523856984061,0
"401",2020-06-09,"B","Median",127.729198626747,0
"402",2020-06-10,"B","Median",132.508938070524,0
"403",2020-06-11,"B","Median",138.28926641982,0
"404",2020-06-12,"B","Median",144.82184237911,0
"405",2020-06-13,"B","Median",150.453632368609,0
"406",2020-06-14,"B","Median",156.662912979373,0
"407",2020-06-15,"B","Median",164.841295887476,0
"408",2020-06-16,"B","Median",170.908828294051,0
"409",2020-06-17,"B","Median",178.849599030316,0
"410",2020-06-18,"B","Median",188.099006315513,0
"411",2020-06-19,"B","Median",196.117813611485,0
"412",2020-06-20,"B","Median",204.919938423395,0
"413",2020-06-21,"B","Median",214.052825383388,0
"414",2020-06-22,"B","Median",224.583971037082,0
"415",2020-06-23,"B","Median",234.248210824708,0
"416",2020-06-24,"B","Median",246.20310114728,0
"417",2020-06-25,"B","Median",258.68416242512,0
"418",2020-06-26,"B","Median",271.782707713715,0
"419",2020-06-27,"B","Median",285.267719109245,0
"420",2020-06-28,"B","Median",299.469743284894,0
"421",2020-06-29,"B","Median",314.245723029566,0
"422",2020-06-30,"B","Median",329.277062636996,0
"423",2020-07-01,"B","Median",346.294998901481,0
"424",2020-07-02,"B","Median",364.101098369697,0
"425",2020-07-03,"B","Median",380.127790667522,0
"426",2020-07-04,"B","Median",398.968603852667,0
"427",2020-07-05,"B","Median",415.24652527749,0
"428",2020-07-06,"B","Median",441.340151443979,0
"429",2020-07-07,"B","Median",472.924354339997,0
"430",2020-07-08,"B","Median",509.74381139181,0
"431",2020-07-09,"B","Median",547.030921157844,0
"432",2020-07-10,"B","Median",589.162918153405,0
"433",2020-07-11,"B","Median",636.868890318384,0
"434",2020-07-12,"B","Median",698.810905361616,0
"435",2020-07-13,"B","Median",759.243691547724,0
"436",2020-07-14,"B","Median",826.726028891412,0
"437",2020-07-15,"B","Median",904.585617657221,0
"438",2020-07-16,"B","Median",990.098880839464,0
"439",2020-07-17,"B","Median",1084.3357727364,0
"440",2020-07-18,"B","Median",1175.87450257588,0
"441",2020-07-19,"B","Median",1280.10439263967,0
"442",2020-07-20,"B","Median",1391.73196035798,0
"443",2020-07-21,"B","Median",1507.67060057457,0
"444",2020-07-22,"B","Median",1630.47732289279,0
"445",2020-07-23,"B","Median",1760.34012816661,0
"446",2020-07-24,"B","Median",1900.60667651648,0
"447",2020-07-25,"B","Median",2049.85573069228,0
"448",2020-07-26,"B","Median",2196.6243980926,0
"449",2020-07-27,"B","Median",2371.18361781647,0
"450",2020-07-28,"B","Median",2565.10735096322,0
"451",2020-07-29,"B","Median",2774.20888517825,0
"452",2020-07-30,"B","Median",2995.35333660881,0
"453",2020-07-31,"B","Median",3211.06525768234,0
"454",2020-08-01,"B","Median",3444.99553696263,0
"455",2020-08-02,"B","Median",3678.47981471618,0
"456",2020-08-03,"B","Median",3932.25093976472,0
