"","Time","scenario","summary_stat","incident_death","cum_death"
"829",2020-10-15,"C","Median",25.0392889848966,4490.8921924943
"830",2020-10-16,"C","Median",24.3395081265548,4515.23170062086
"831",2020-10-17,"C","Median",22.9128888604401,4538.1445894813
"832",2020-10-18,"C","Median",21.9081372468379,4560.05272672813
"833",2020-10-19,"C","Median",20.8229173935432,4580.87564412168
"834",2020-10-20,"C","Median",20.2409618052972,4601.11660592698
"835",2020-10-21,"C","Median",19.2575062592,4620.37411218618
"836",2020-10-22,"C","Median",18.2697235747327,4638.64383576091
"837",2020-10-23,"C","Median",17.1707320306391,4655.81456779155
"838",2020-10-24,"C","Median",16.4541644715279,4672.26873226308
"839",2020-10-25,"C","Median",15.601135779495,4687.86986804257
"840",2020-10-26,"C","Median",14.8776043873875,4702.74747242996
"841",2020-10-27,"C","Median",14.1149794108663,4716.86245184082
"842",2020-10-28,"C","Median",13.236138690867,4730.09859053169
"843",2020-10-29,"C","Median",12.4781934274381,4742.57678395913
"844",2020-10-30,"C","Median",12.1773594253241,4754.75414338445
"845",2020-10-31,"C","Median",11.4520768162672,4766.20622020072
"846",2020-11-01,"C","Median",11.0313677799841,4777.23758798071
"847",2020-11-02,"C","Median",10.2046731545493,4787.44226113525
"848",2020-11-03,"C","Median",9.61416111679301,4797.05642225205
"849",2020-11-04,"C","Median",9.40428750343342,4806.46070975548
"850",2020-11-05,"C","Median",8.70704996405574,4815.16775971954
"851",2020-11-06,"C","Median",8.3003381215248,4823.46809784106
"852",2020-11-07,"C","Median",8.08112103372,4831.54921887478
"853",2020-11-08,"C","Median",7.40933869358498,4838.95855756837
"854",2020-11-09,"C","Median",6.93452111897447,4845.89307868734
"855",2020-11-10,"C","Median",6.67787035258709,4852.57094903993
"856",2020-11-11,"C","Median",6.21270455768898,4858.78365359762
"857",2020-11-12,"C","Median",5.89950691485038,4864.68316051247
"858",2020-11-13,"C","Median",5.61865918284418,4870.30181969531
"859",2020-11-14,"C","Median",5.30274953909877,4875.60456923441
"860",2020-11-15,"C","Median",4.99267815743275,4880.59724739184
"861",2020-11-16,"C","Median",4.83944683456418,4885.43669422641
"862",2020-11-17,"C","Median",4.53337370464642,4889.97006793105
"863",2020-11-18,"C","Median",4.45899178743873,4894.42905971849
"864",2020-11-19,"C","Median",4.08612356171093,4898.5151832802
"865",2020-11-20,"C","Median",3.79310618232576,4902.30828946253
"866",2020-11-21,"C","Median",3.66291957011814,4905.97120903265
"867",2020-11-22,"C","Median",3.42198387734389,4909.39319290999
"868",2020-11-23,"C","Median",3.21867059268382,4912.61186350267
"869",2020-11-24,"C","Median",3.08243227680825,4915.69429577948
"870",2020-11-25,"C","Median",2.87943539114466,4918.57373117063
"871",2020-11-26,"C","Median",2.75515413899067,4921.32888530962
